OBJECTID,WARD,ADDNUM,ADDSTR,LTLOCATION,RDLOCATION,OWNERSHIP,PARK,SPECIES,DBH,TREATMENT,EABTAGNUMB,DEDTAGNUMB
32642,1,1125,TRIM RD,Side,N/A,City,0,Elm Rock,9,,0,0
32646,1,8425,NORTH SERVICE RD,Front,N/A,City,0,Maple Sugar,10,,0,0
32653,1,8425,NORTH SERVICE RD,Front,N/A,City,0,Maple Sugar,6,,0,0
32673,1,8047,JEANNE D'ARC BLVD,Front,N/A,City,0,Spruce Colorado,7,,0,0
32675,1,8049,JEANNE D'ARC BLVD,Front,N/A,City,0,Ash Species,58,,0,0
32680,1,214,CATTAIL WAY,Side,N/A,City,0,Spruce White,44,,0,0
32691,1,8208,JEANNE D'ARC BLVD,Front,Boulevard,City,0,Ash Species,46,,0,0
32703,1,405,SANDERLING CRES,Rear,N/A,City,0,Ash Species,32,,0,0
32717,1,100,ROSSIGNOL CRES,Rear,N/A,City,0,Aspen Trembling,5,,0,0
32730,1,477,WINCANTON DR,Side,N/A,City,0,Oak Red,20,,0,0
32731,1,496,WINCANTON DR,Front,N/A,City,0,Maple Norway,15,,0,0
32735,1,550,LAWLER CRES,Rear,N/A,City,0,Maple Norway,13,,0,0
32749,1,1138,FALCONCREST CRT,Rear,N/A,City,0,Lilac  Japanese,13,,0,0
32782,1,908,SANDPIPER CRT,Front,N/A,Joint,0,Ash Species,46,,0,0
32784,1,192,LAVEROCK BAY,Front,N/A,City,0,Ash Species,41,,0,0
32790,1,421,MOCKINGBIRD DR,Front,N/A,City,0,Spruce White,23,,0,0
32808,1,311,MOCKINGBIRD DR,Side,N/A,City,0,Linden Littleleaf,39,,0,0
32812,1,246,TULIP CRES,Rear,N/A,City,0,Linden Littleleaf,41,,0,0
32817,1,301,MOCKINGBIRD DR,Front,N/A,City,0,Maple Sugar,6,,0,0
32819,1,321,PINTAIL TER,Front,N/A,City,0,Ash Species,46,,0,0
32822,1,316,PINTAIL TER,Front,N/A,Joint,0,Maple Red,45,,0,0
32824,1,297,PINTAIL TER,Front,N/A,City,0,Mountain Ash  Showy,66,,0,0
32831,1,337,TULIP CRES,Front,N/A,City,0,Ash Species,43,,0,0
32835,1,320,TULIP CRES,Front,N/A,City,0,Ash Species,39,,0,0
32852,1,358,BURNT EMBER WAY,Front,N/A,City,0,Cherry Species,21,,0,0
32855,1,356,BURNT EMBER WAY,Front,N/A,City,0,Ash Species,39,,0,0
32856,1,353,BURNT EMBER WAY,Front,N/A,City,0,Ash Species,52,,0,0
32858,1,345,BURNT EMBER WAY,Front,N/A,City,0,Ash Species,42,,0,0
32860,1,348,BURNT EMBER WAY,Front,N/A,City,0,Spruce White,38,,0,0
32868,1,850,TAMARISK CRT,Front,N/A,City,0,Maple Red,20,,0,0
32870,1,854,TAMARISK CRT,Front,N/A,City,0,Cherry Choke Schubert,7,,0,0
32876,1,345,BURNT EMBER WAY,Front,N/A,Joint,0,Spruce White,38,,0,0
32878,1,826,HARLEQUIN CRES,Front,N/A,City,0,Maple Norway,46,,0,0
32886,1,809,HARLEQUIN CRES,Front,N/A,Joint,0,Maple Norway,45,,0,0
32898,1,761,HARLEQUIN CRES,Front,N/A,City,0,Spruce Colorado,9,,0,0
32905,1,791,KINGFISHER CRES,Side,N/A,City,0,Ash Species,41,,0,0
32920,1,836,VINETTE CRES,Front,N/A,City,0,Maple Norway,52,,0,0
32933,1,805,VINETTE CRES,Side,N/A,City,0,Spruce White,32,,0,0
32955,1,832,LAWNSBERRY DR,Front,N/A,City,0,Spruce White,17,,0,0
32958,1,835,LAWNSBERRY DR,Front,N/A,Joint,0,Ash Species,63,,0,0
32959,1,841,LAWNSBERRY DR,Front,N/A,Joint,0,Ash Species,55,,0,0
32962,1,842,LAWNSBERRY DR,Front,N/A,City,0,Ash Species,44,,0,0
32964,1,849,LAWNSBERRY DR,Front,N/A,Joint,0,Locust Honey,27,,0,0
32969,1,834,LAWNSBERRY DR,Front,N/A,City,0,Ash White,46,,0,0
32975,1,911,BORLAND DR,Front,N/A,City,0,Spruce Colorado,10,,0,0
32995,1,860,LAWNSBERRY DR,Front,N/A,City,0,Maple Norway,23,,0,0
32996,1,862,LAWNSBERRY DR,Front,N/A,Joint,0,Maple Red,31,,0,0
33006,1,889,LAWNSBERRY DR,Front,N/A,City,0,Birch White,39,,0,0
33008,1,898,LAWNSBERRY DR,Front,N/A,City,0,Ash Species,43,,0,0
33011,1,903,LAWNSBERRY DR,Side,N/A,City,0,Ash Species,40,,0,0
33017,1,941,LAWNSBERRY DR,Side,N/A,City,0,Ash Species,36,,0,0
33018,1,942,LAWNSBERRY DR,Side,N/A,City,0,Ash Species,35,,0,0
33021,1,947,LAWNSBERRY DR,Front,N/A,Joint,0,Ash Species,47,,0,0
33044,1,254,KINGLET WAY,Front,N/A,City,0,Spruce White,31,,0,0
33045,1,285,TURNSTONE CRT,Front,CenterMed,City,0,Birch White,26,,0,0
33046,1,285,TURNSTONE CRT,Front,CenterMed,City,0,Ash Species,23,,0,0
33050,1,285,TURNSTONE CRT,Front,CenterMed,City,0,Aspen Trembling,30,,0,0
33066,1,285,TURNSTONE CRT,Front,CenterMed,City,0,Maple Red,21,,0,0
33069,1,285,TURNSTONE CRT,Front,CenterMed,City,0,Maple Red,44,,0,0
33075,1,285,TURNSTONE CRT,Front,CenterMed,City,0,Aspen Trembling,30,,0,0
33076,1,285,TURNSTONE CRT,Front,CenterMed,City,0,Ash Species,37,,0,0
33082,1,285,TURNSTONE CRT,Front,CenterMed,City,0,Maple Red,35,,0,0
33086,1,285,TURNSTONE CRT,Front,CenterMed,City,0,Maple Red,29,,0,0
33089,1,285,TURNSTONE CRT,Front,CenterMed,City,0,Ash Species,32,,0,0
33113,1,283,ELDERBERRY TER,Front,N/A,City,0,Maple Norway,16,,0,0
33120,1,281,ELDERBERRY TER,Side,N/A,City,0,Ash Species,51,,0,0
33123,1,831,BORLAND DR,Front,N/A,City,0,Maple Silver,40,,0,0
33125,1,843,BORLAND DR,Front,N/A,Joint,0,Spruce Colorado,38,,0,0
33129,1,859,BORLAND DR,Front,N/A,City,0,Maple Norway,29,,0,0
33140,1,870,BORLAND DR,Front,N/A,Joint,0,Maple Norway,45,,0,0
33159,1,850,WILLOW AVE,Front,N/A,City,0,Birch White,58,,0,0
33163,1,128,FIR ST,Front,N/A,City,0,Maple Manitoba,68,,0,0
33170,1,827,HEMLOCK CRES,Front,N/A,City,0,Maple Red,29,,0,0
33212,1,Ramp 26,CHAMPLAIN ST,Side,N/A,City,0,Spruce Colorado,9,,0,0
33217,1,Ramp 26,CHAMPLAIN ST,Side,N/A,City,0,Maple Manitoba,39,,0,0
33224,1,Ramp 26,CHAMPLAIN ST,Side,N/A,City,0,Olive Russian,66,,0,0
33226,1,Ramp 26,CHAMPLAIN ST,Side,N/A,City,0,Olive Russian,37,,0,0
33234,15,444,EVERED AVE,Front,N/A,City,0,Spruce Colorado,5,,0,0
33236,15,448,EVERED AVE,Front,N/A,City,0,Maple Norway,17,,0,0
33237,15,487,EVERED AVE,Front,Boulevard,City,0,Cherry Choke Schubert,22,,0,0
33238,15,487,EVERED AVE,Front,N/A,Joint,0,Fir Balsam,28,,0,0
33246,15,280,WESLEY AVE,Side,N/A,City,0,Ash White,35,,0,0
33247,15,280,WESLEY AVE,Side,N/A,City,0,Ash White,53,,0,0
33255,15,433,EVERED AVE,Front,N/A,Joint,0,Linden Littleleaf,92,,0,0
33259,15,456,EVERED AVE,Front,N/A,City,0,Lilac  Japanese,12,,0,0
33267,15,482,EVERED AVE,Front,N/A,City,0,Ash White,42,,0,0
33269,15,488,EVERED AVE,Front,N/A,City,0,Ash White,42,,0,0
33284,15,530,EVERED AVE,Front,N/A,City,0,Ash White,36,,0,0
33295,15,525,EVERED AVE,Front,Boulevard,City,0,Cherry Choke Schubert,17,,0,0
33313,15,232,BELFORD CRES,Front,N/A,City,0,Crabapple Species,35,,0,0
33329,15,312,PARNELL AVE,Front,N/A,City,0,Maple Sugar,11,,0,0
33336,15,564,HIGHCROFT AVE,Front,N/A,City,0,Spruce Colorado,50,,0,0
33349,15,531,HIGHCROFT AVE,Front,N/A,City,0,Fir Balsam,32,,0,0
33360,15,536,HIGHCROFT AVE,Side,N/A,City,0,Linden Littleleaf,40,,0,0
33363,15,536,HIGHCROFT AVE,Side,N/A,City,0,Maple Norway,53,,0,0
33391,15,435,BEVAN AVE,Front,N/A,City,0,Maple Sugar,51,,0,0
33393,15,444,BEVAN AVE,Front,N/A,City,0,Maple Sugar,63,,0,0
33397,15,457,BEVAN AVE,Front,N/A,City,0,Maple Norway,17,,0,0
33408,15,472,BEVAN AVE,Side,N/A,City,0,Maple Red,45,,0,0
33416,15,481,BEVAN AVE,Front,N/A,City,0,Maple Red,68,,0,0
33417,15,485,BEVAN AVE,Front,N/A,City,0,Maple Norway,31,,0,0
33419,15,489,BEVAN AVE,Front,N/A,City,0,Maple Norway,24,,0,0
33450,15,208,IONA ST,Front,N/A,City,0,Mountain Ash  Showy,7,,0,0
33453,15,210,IONA ST,Front,N/A,City,0,Birch White,72,,0,0
33456,15,210,IONA ST,Front,N/A,Joint,0,Crabapple Species,24,,0,0
33469,17,1683,RIVERSIDE DR,Oppos,N/A,City,0,Maple Norway,25,,0,0
33473,17,1541,RIVERSIDE DR,Oppos,Boulevard,City,0,Elm Siberian,23,,0,0
33482,17,1633,RIVERSIDE DR,Oppos,N/A,City,0,Lilac  Japanese,11,,0,0
33510,18,1545,CALEDON ST,Front,N/A,City,0,Linden Littleleaf,140,,0,0
33516,18,1556,CALEDON ST,Front,N/A,City,0,Linden Littleleaf,61,,0,0
33520,18,1565,CALEDON ST,Front,N/A,City,0,Linden Littleleaf,60,,0,0
33527,18,1570,CALEDON ST,Side,N/A,City,0,Maple Norway,38,,0,0
33536,18,1590,ALTA VISTA DR,Rear,N/A,City,0,Hackberry,35,,0,0
33540,18,254,DALE AVE,Front,N/A,City,0,Maple Sugar,12,,0,0
33548,18,1568,ALTA VISTA DR,Side,N/A,City,0,Linden Littleleaf,74,,0,0
33550,18,1568,ALTA VISTA DR,Front,N/A,City,0,Oak Pin,70,,0,0
33551,18,1562,ALTA VISTA DR,Front,N/A,City,0,Lilac  Japanese,8,,0,0
33553,18,1550,ALTA VISTA DR,Front,N/A,City,0,Oak Red,58,,0,0
33557,18,1546,ALTA VISTA DR,Front,N/A,City,0,Spruce Colorado,36,,0,0
33558,18,1546,ALTA VISTA DR,Front,N/A,City,0,Maple Sugar,82,,0,0
33564,18,1590,ALTA VISTA DR,Front,N/A,City,0,Maple Norway,16,,0,0
33570,18,1610,ALTA VISTA DR,Side,N/A,City,0,Oak Pin,80,,0,0
33594,18,1657,ALTA VISTA DR,Front,N/A,City,0,Maple Norway,26,,0,0
33601,18,1617,ALTA VISTA DR,Front,N/A,City,0,Elm Siberian,61,,0,0
33608,18,1595,ALTA VISTA DR,Front,N/A,City,0,Oak Red,74,,0,0
33621,18,1520,ALTA VISTA DR,Front,N/A,City,0,Mountain Ash  Showy,51,,0,0
33626,18,1559,ALTA VISTA DR,Front,N/A,City,0,Locust Honey,21,,0,0
33638,18,1593,ABBEY RD,Front,N/A,City,0,Oak Pin,80,,0,0
33646,18,1635,ABBEY RD,Front,N/A,City,0,Maple Sugar,43,,0,0
33674,18,145,BALFOUR AVE,Side,N/A,City,0,Oak Pin,79,,0,0
33678,18,1700,ABBEY RD,Front,N/A,City,0,Locust Honey,49,,0,0
33700,18,19,GREAT OAK PRIV,Rear,N/A,City,0,Oak Red,8,,0,0
33702,18,17,GREAT OAK PRIV,Rear,N/A,City,0,Oak Red,10,,0,0
33714,18,2,REMEMBRANCE CRES,Side,N/A,City,0,Crabapple Species,6,,0,0
33716,18,2,REMEMBRANCE CRES,Rear,N/A,City,0,Spruce Colorado,10,,0,0
33723,18,7,REMEMBRANCE CRES,Front,N/A,City,0,Oak Red,13,,0,0
33738,18,59,GREAT OAK PRIV,Rear,N/A,City,0,Oak Red,11,,0,0
33741,18,49,GREAT OAK PRIV,Rear,N/A,City,0,Oak Red,11,,0,0
33753,18,120,TALL OAK PRIV,Rear,N/A,City,0,Oak Red,6,,0,0
33761,18,29,REMEMBRANCE CRES,Side,N/A,City,0,Oak Pin,11,,0,0
33771,18,197,CLUNY ST,Front,N/A,City,0,Ironwod,28,,0,0
33777,18,206,CLUNY ST,Side,N/A,City,0,Maple Sugar,46,,0,0
33780,18,204,KNOX CRES,Front,N/A,City,0,Maple Red,60,,0,0
33803,18,249,KNOX CRES,Front,N/A,City,0,Maple Norway,32,,0,0
33833,18,1622,DORION AVE,Front,N/A,City,0,Spruce White,44,,0,0
33856,18,1588,DORION AVE,Front,N/A,City,0,Maple Red,51,,0,0
33862,18,1569,DORION AVE,Side,N/A,City,0,Maple Norway,31,,0,0
33869,18,1550,DORION AVE,Front,N/A,City,0,Maple Freeman,49,,0,0
33878,18,319,KNOX CRES,Front,N/A,City,0,Maple Freeman,56,,0,0
33896,18,242,LENNOX PARK AVE,Front,N/A,City,0,Maple Silver,95,,0,0
33917,18,204,LENNOX PARK AVE,Front,N/A,City,0,Maple Silver,94,,0,0
33920,18,196,LENNOX PARK AVE,Front,N/A,City,0,Maple Red,110,,0,0
33922,18,260,LENNOX PARK AVE,Front,N/A,City,0,Crabapple Species,6,,0,0
33924,18,260,KNOX CRES,Front,N/A,City,0,Maple Red,2,,0,0
33935,18,337,KNOX CRES,Front,N/A,City,0,Maple Silver,70,,0,0
33947,18,1582,DRAKE AVE,Front,N/A,City,0,Locust Honey,41,,0,0
33950,18,1564,DRAKE AVE,Front,N/A,City,0,Maple Silver,73,,0,0
33953,18,1565,DRAKE AVE,Front,N/A,City,0,Maple Red,30,,0,0
33959,18,552,BLAIR ST,Front,N/A,City,0,Oak Red,74,,0,0
33983,18,211,STATION BLVD,Side,N/A,City,0,Ash Species,11,,0,0
33990,18,221,STATION BLVD,Side,N/A,City,0,Locust Honey,15,,0,0
34008,18,410,AVALON PL,Side,Boulevard,City,0,Maple Sugar,12,,0,0
34021,18,329,ACTON ST,Front,N/A,City,0,Maple Sugar,39,,0,0
34022,18,329,ACTON ST,Side,N/A,City,0,Maple Freeman,53,,0,0
34039,18,352,LINDSAY ST,Front,N/A,City,0,Oak Red,10,,0,0
34043,18,335,LINDSAY ST,Front,N/A,City,0,Ash Species,11,,0,0
34045,18,322,LINDSAY ST,Front,N/A,City,0,Maple Sugar,50,,0,0
34051,18,307,LINDSAY ST,Front,N/A,City,0,Maple Red,24,,0,0
34058,18,499,BLAIR ST,Front,N/A,City,0,Maple Sugar,12,,0,0
34062,18,40,SANTA CRUZ PRIV,Side,N/A,City,0,Spruce Colorado,13,,0,0
34065,18,565,BLAIR ST,Side,N/A,City,0,Linden Littleleaf,15,,0,0
34067,18,37,SANTA CRUZ PRIV,Side,N/A,City,0,Maple Norway,16,,0,0
34090,18,1525,ALTA VISTA DR,Side,N/A,City,0,Hawthorn,37,,0,0
34093,18,442,CORONATION AVE,Front,Boulevard,City,0,Elm Prospector,18,,0,0
34097,18,442,CORONATION AVE,Front,Boulevard,City,0,Maple Norway,33,,0,0
34103,18,474,CORONATION AVE,Front,N/A,City,0,Mountain Ash  Showy,49,,0,0
34105,18,478,CORONATION AVE,Front,N/A,City,0,Pine Scotch,28,,0,0
34110,18,522,CORONATION AVE,Front,N/A,City,0,Spruce White,34,,0,0
34127,18,2271,HALIFAX DR,Front,N/A,City,0,Maple Red,6,,0,0
34130,18,2271,HALIFAX DR,Side,N/A,City,0,Maple Sugar,17,,0,0
34141,18,2257,HALIFAX DR,Front,N/A,City,0,Ash Species,22,,0,0
34154,4,109,MUSKEGO CRES,Front,N/A,City,0,Hackberry,12,,0,0
34157,4,115,MUSKEGO CRES,Front,N/A,City,0,Maple Freeman,12,,0,0
34161,4,125,MUSKEGO CRES,Front,N/A,City,0,Ash Species,7,,0,0
34169,4,116,MUSKEGO CRES,Side,N/A,City,0,Ash Species,12,,0,0
34171,4,114,MUSKEGO CRES,Front,N/A,City,0,Maple Freeman,14,,0,0
34173,4,110,MUSKEGO CRES,Front,N/A,City,0,Maple Freeman,15,,0,0
34192,4,2045,DUNOLLIE CRES,Front,N/A,City,0,Maple Freeman,15,,0,0
34202,4,2011,DUNOLLIE CRES,Front,N/A,City,0,Locust Honey,10,,0,0
34206,4,2001,DUNOLLIE CRES,Side,Boulevard,City,0,Locust Honey,8,,0,0
34210,4,2018,DUNOLLIE CRES,Front,N/A,City,0,Hackberry,13,,0,0
34211,4,2020,DUNOLLIE CRES,Front,N/A,City,0,Hackberry,14,,0,0
34221,4,12,PORTADOWN CRES,Front,N/A,City,0,Oak Pin,9,,0,0
34229,4,36,PORTADOWN CRES,Front,N/A,City,0,Linden Littleleaf,13,,0,0
34236,4,47,PORTADOWN CRES,Front,N/A,City,0,Maple Freeman,22,,0,0
34239,4,41,PORTADOWN CRES,Side,N/A,City,0,Spruce Colorado,10,,0,0
34245,4,21,PORTADOWN CRES,Front,N/A,City,0,Crabapple Species,2,,0,0
34246,4,19,PORTADOWN CRES,Front,N/A,City,0,Linden Littleleaf,14,,0,0
34247,4,17,PORTADOWN CRES,Front,N/A,City,0,Oak Red,7,,0,0
34251,4,17,KETTLEWELL WAY,Front,N/A,City,0,Oak Red,12,,0,0
34262,4,32,KETTLEWELL WAY,Front,N/A,City,0,Linden Littleleaf,10,,0,0
34264,4,36,KETTLEWELL WAY,Front,N/A,City,0,Linden Littleleaf,10,,0,0
34265,4,36,KETTLEWELL WAY,Side,N/A,City,0,Ash White,3,,0,0
34273,4,1071,GOWARD DR,Front,N/A,City,0,Maple Red,8,,0,0
34282,4,1084,GOWARD DR,Front,N/A,City,0,Maple Red,8,,0,0
34292,4,720,MARCH RD,Front,Boulevard,City,0,Oak English,18,,0,0
34293,4,100,HELMSDALE DR,Rear,N/A,City,0,Ash White,16,,0,0
34324,4,17,STONECROFT TER,Side,N/A,City,0,Spruce Colorado,20,,0,0
34331,4,11,STONECROFT TER,Front,N/A,City,0,Spruce Colorado,20,,0,0
34332,4,11,STONECROFT TER,Front,N/A,City,0,Spruce Colorado,20,,0,0
34334,4,22,ROBSON CRT,Front,N/A,City,0,Ash White,20,,0,0
34339,4,40,ROBSON CRT,Front,N/A,City,0,Locust Honey,25,,0,0
34340,4,100,HELMSDALE DR,Front,N/A,City,0,Ash White,4,,0,0
34347,4,425,LEGGET DR,Side,N/A,City,0,Ash Species,24,,0,0
34357,4,12,STONECROFT TER,Front,N/A,City,0,Pine Austrian,31,,0,0
34359,4,12,STONECROFT TER,Front,N/A,City,0,Pine Austrian,28,,0,0
34364,4,80,ROBSON CRT,Front,N/A,City,0,Pine White,25,,0,0
34366,4,80,ROBSON CRT,Front,N/A,City,0,Locust Honey,28,,0,0
34368,4,61,ROBSON CRT,Front,N/A,City,0,Ash Species,15,,0,0
34376,4,51,ROBSON CRT,Front,N/A,City,0,Ash Species,15,,0,0
34386,4,141,ROBSON CRT,Front,N/A,City,0,Maple Norway,19,,0,0
34387,4,140,ROBSON CRT,Front,N/A,City,0,Maple Sugar,19,,0,0
34389,4,130,ROBSON CRT,Front,N/A,City,0,Maple Norway,31,,0,0
34393,4,110,ROBSON CRT,Front,N/A,City,0,Ash White,20,,0,0
34398,4,7,HIGHMONT CRT,Front,N/A,City,0,Linden Littleleaf,28,,0,0
34408,4,40,HIGHMONT CRT,Front,N/A,Joint,0,Crabapple Species,17,,0,0
34426,4,57,WINDCREST CRT,Front,N/A,City,0,Locust Honey,23,,0,0
34436,4,400,GOLDRIDGE DR,Front,Boulevard,City,0,Elm Prospector,8,,0,0
5,13,75,BIRCH AVE,Front,N/A,City,0,Maple Red,57,,0,0
8,13,67,BIRCH AVE,Front,N/A,City,0,Ash Species,56,,0,0
16,13,49,BIRCH AVE,Front,N/A,City,0,Oak Red,57,,0,0
30,13,29,BIRCH AVE,Front,N/A,City,0,Maple Norway,19,,0,0
45,13,7,BIRCH AVE,Front,N/A,City,0,Locust Honey,23,,0,0
50,13,6,BIRCH AVE,Front,N/A,City,0,Pine White,43,,0,0
58,13,16,BIRCH AVE,Front,N/A,City,0,Crabapple Species,66,,0,0
66,13,28,BIRCH AVE,Front,N/A,City,0,,35,,0,0
74,13,321,LAKEWAY DR,Oppos,N/A,City,0,Various Species,0,,0,0
76,13,45,POND ST,Oppos,N/A,City,0,Various Species,0,,0,0
87,13,35,MACNABB PL,Front,N/A,City,0,Spruce Colorado,22,,0,0
123,13,55,POND ST,Front,N/A,City,0,Oak Red,36,,0,0
129,11,1953,MULBERRY CRES,Front,N/A,City,0,Linden Littleleaf,51,,0,0
131,11,1943,MULBERRY CRES,Front,N/A,Joint,0,Locust Honey,56,,0,0
139,11,1942,MULBERRY CRES,Front,N/A,City,0,Maple Red,37,,0,0
143,11,1952,MULBERRY CRES,Front,N/A,Joint,0,Pine Red,53,,0,0
145,11,1964,MULBERRY CRES,Side,N/A,City,0,Linden Littleleaf,56,,0,0
147,11,1966,MULBERRY CRES,Front,N/A,City,0,Maple Red,45,,0,0
172,11,2071,JASMINE CRES,Side,N/A,City,0,Ginkgo,7,,0,0
173,11,2071,JASMINE CRES,Side,N/A,City,0,Lilac  Japanese,8,,0,0
190,14,310,SOMERSET ST,Side,Boulevard,City,0,Ash White,23,EAB,390,0
199,1,6018,VOYAGEUR DR,Front,N/A,City,-1,Ash Species,40,EAB,526,0
205,1,1175,STE. THERESE LANE,Front,N/A,City,-1,Ash Species,35,EAB,515,0
216,1,1595,GREY NUNS DR,Front,N/A,City,-1,Ash Species,32,EAB,537,0
219,1,1756,GREY NUNS DR,Front,N/A,City,-1,Ash Species,31,EAB,545,0
223,18,1266,RANDALL AVE,Front,N/A,City,0,Ash White,51,EAB,706,0
225,18,2347,ORLANDO AVE,Front,N/A,City,-1,Ash Species,12,EAB,703,0
226,18,2460,ALTA VISTA DR,Front,Boulevard,City,0,Ash White,41,EAB,700,0
232,10,1161,BLOHM DR,Front,N/A,City,-1,Ash White,36,EAB,669,0
238,18,2139,TAWNEY RD,Front,N/A,City,-1,Ash White,56,EAB,632,0
241,18,2139,TAWNEY RD,Front,N/A,City,-1,Ash White,46,EAB,635,0
251,18,825,CANTERBURY AVE,Front,N/A,City,0,Ash White,43,EAB,663,0
257,18,1900,FLORIDA AVE,Front,N/A,City,-1,Ash White,45,EAB,676,0
259,18,2332,JEFFERSON ST,Front,N/A,City,0,Ash White,51,EAB,681,0
260,18,2339,VIRGINIA DR,Front,N/A,City,0,Ash White,48,EAB,680,0
295,11,986,LAPORTE ST,Rear,N/A,City,0,Elm American,12,,0,0
300,11,2455,OGILVIE RD,Front,N/A,Joint,0,Maple Norway,56,,0,0
305,11,2036,QUINCY AVE,Front,Median,City,0,Maple Silver,79,,0,0
308,11,2037,QUINCY AVE,Front,N/A,City,0,Maple Silver,75,,0,0
311,11,2035,QUINCY AVE,Front,N/A,City,0,Spruce White,34,,0,0
317,11,510,RIVERSHORE CRES,Front,N/A,Joint,0,Lilac  Japanese,80,,0,0
326,11,541,RIVERSHORE CRES,Front,N/A,City,0,Spruce White,14,,0,0
328,11,549,RIVERSHORE CRES,Front,N/A,City,0,Maple Sugar,40,,0,0
336,11,1996,WOODWAY AVE,Front,N/A,Joint,0,Maple Silver,300,,0,0
338,11,2106,STONEHENGE CRES,Front,N/A,Joint,0,Birch White,28,,0,0
343,11,1918,STONEHENGE CRES,Front,N/A,City,0,Pine White,3,,0,0
346,11,1860,STONEHENGE CRES,Side,N/A,City,0,Maple Norway,53,,0,0
356,11,1994,HOLLYBROOK CRES,Side,N/A,City,0,Pine White,44,,0,0
377,11,600,DUFF CRES,Front,N/A,City,0,Fir Douglas,45,,0,0
385,12,151,CHAPEL ST,Side,N/A,City,0,Ash White,49,EAB,360,0
388,13,15,ROCKCLIFFE WAY,Front,N/A,City,-1,Ash White,19,EAB,343,0
395,17,83,HAVELOCK ST,Side,N/A,City,0,Ash White,102,EAB,453,0
402,17,10,ELLA ST,Front,N/A,City,-1,Ash White,19,EAB,443,0
406,17,157,GLEBE AVE,Front,N/A,City,0,Ash White,53,EAB,446,0
409,14,610-20,MACLAREN ST,Front,N/A,City,0,Ash White,35,EAB,418,0
415,18,2516,ALTA VISTA DR,Front,Boulevard,City,0,Ash White,33,EAB,697,0
423,18,2358,RUSSELL RD,Front,N/A,City,-1,Ash White,52,EAB,630,0
426,13,120,LAKEVIEW AVE,Front,N/A,City,0,Ginkgo,5,,0,0
441,13,65,WHITEMARL DR,Side,N/A,Joint,0,Maple Sugar,11,,0,0
445,13,65,WHITEMARL DR,Side,N/A,City,0,Elm American,47,,0,0
447,13,65,WHITEMARL DR,Front,N/A,City,0,Various Species,0,,0,0
454,13,70,POND ST,Front,N/A,City,0,Cherry Choke Schubert,7,,0,0
455,13,75,POND ST,Front,N/A,Joint,0,Locust Honey,34,,0,0
457,13,80,POND ST,Front,N/A,City,0,Pine Red,28,,0,0
462,13,110,POND ST,Oppos,N/A,City,0,Elm Prospector,7,,0,0
471,13,100,POND ST,Front,N/A,City,0,Spruce Colorado,26,,0,0
505,13,,WHITEMARL DR,Front,N/A,City,0,,0,,0,0
513,13,5,BITTERN CRT,Front,N/A,City,0,Basswood,42,,0,0
517,13,5,BITTERN CRT,Front,N/A,City,0,Ash Species,8,,0,0
541,13,30,BITTERN CRT,Front,N/A,City,0,Spruce White,27,,0,0
542,13,30,BITTERN CRT,Front,N/A,City,0,Birch White,19,,0,0
548,12,244,TUDOR PL,Front,N/A,City,0,Ash Species,37,,0,0
579,13,115,LANSDOWNE RD,Front,N/A,City,0,Crabapple Species,16,,0,0
580,13,115,LANSDOWNE RD,Front,N/A,Joint,0,Spruce Colorado,29,,0,0
586,13,125,LANSDOWNE RD,Side,N/A,City,0,Fir Balsam,15,,0,0
587,13,125,LANSDOWNE RD,Side,N/A,City,0,Crabapple Species,15,,0,0
611,13,170,LANSDOWNE RD,Front,N/A,City,0,Ironwod,17,,0,0
612,13,170,LANSDOWNE RD,Front,N/A,City,0,Linden Littleleaf,46,,0,0
614,13,170,LANSDOWNE RD,Front,N/A,City,0,Basswood,44,,0,0
620,13,187,LANSDOWNE RD,Front,N/A,City,0,Basswood,51,,0,0
636,13,193,LANSDOWNE RD,Side,N/A,Joint,0,Ash Species,23,,0,0
641,13,193,LANSDOWNE RD,Side,N/A,City,0,Basswood,77,,0,0
645,13,193,LANSDOWNE RD,Side,N/A,City,0,Maple Sugar,2,,0,0
647,13,193,LANSDOWNE RD,Side,N/A,City,0,Maple Sugar,25,,0,0
650,13,597,MARIPOSA AVE,Oppos,N/A,City,0,Maple Sugar,22,,0,0
659,13,33,DUNVEGAN RD,Front,N/A,City,0,Spruce Colorado,37,,0,0
684,5,3115,OLD ALMONTE RD,Front,N/A,City,0,Maple Sugar,5,,0,0
715,19,578,DU PLATEAU ST,Oppos,Boulevard,City,0,Locust Honey,5,,0,0
717,19,582,DU PLATEAU ST,Oppos,Boulevard,City,0,Ginkgo,5,,0,0
722,19,590,DU PLATEAU ST,Oppos,Boulevard,City,0,Hackberry,5,,0,0
727,19,1826,HIALEAH DR,Front,N/A,City,0,Lilac  Japanese,5,,0,0
730,2,6384,VISENEAU DR,Oppos,N/A,City,-1,Maple Red,5,,0,0
732,2,1855,SIMARD DR,N/A,N/A,City,-1,Katsura tree,3,,0,0
738,11,1445,BRADSHAW CRES,Side,N/A,City,0,Spruce White,40,,0,0
753,11,1431,PROGRESS PL,Side,Median,City,0,Maple Sugar,7,,0,0
768,11,1524,RIDGEBROOK DR,Front,N/A,City,0,Hazel Turkish,6,,0,0
787,11,1729,DONDALE ST,Rear,Median,City,0,Hackberry,8,,0,0
